id;screen_name;name;location;url;description;verified;follower;following;lists;likes;tweets;created;lang;bkg-image;profile-image
2676380228;dotSwift;dotSwift;Paris;https://t.co/ieF1ja3Ori;The European Swift Conference - 4th edition on January 29, 2018 in Paris - part of the @dotConferences series;False;1071;22;59;67;760;2014-07-24 09:46:35;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/659733027665403904/Ele2x90Z_normal.png
2607225000;containercamp;Container Camp;London-San Francisco-Sydney ;https://t.co/ehltyf9sbs;The world’s leading independent conference on container technology 🇦🇺 Australia, May 2018| 🇺🇸 USA, 2018| 🇬🇧 UK, September 2018;False;2565;2044;199;4695;3415;2014-07-06 10:31:00;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/877900564490833926/zZHa_Zm__normal.jpg
2572734818;code_conf;CoDe Conferences;;https://t.co/nChar45tFL;Conferences, academies and meet-ups on #ContinuousDelivery and #DevOps in Scandinavia - We're building the community of Continuous Delivery users.;False;302;338;63;936;888;2014-06-17 11:24:41;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/811963046184833024/HCVa6viD_normal.jpg
2527496120;LondonSIGGRAPH;London ACM SIGGRAPH;London;http://t.co/kR7l9767pW;We’re the London ACM SIGGRAPH Chapter, a non-profit organisation. We host events for the Computer Graphics community in London.;False;1086;496;30;142;633;2014-05-27 13:42:01;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/621713909809082368/LSbzy1LT_normal.png
2510333484;CSVConference;CSVConf;Portland, OR;https://t.co/ylSKWQG5kT;a data conference that's not literally about CSV file format but rather what CSV represents to our community: data interoperability, hackability, simplicity,etc;False;1026;17;55;391;219;2014-05-20 13:03:06;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/859876313573752834/ZFPk-dPy_normal.jpg
2475521587;FullStackFest;Full Stack Fest;Barcelona;https://t.co/USplHDxMgd;A week-long full stack development conference with a focus on solving current problems with new & inspiring perspectives. Barcelona, 4-8 Sept 2017. By @codegram;False;2831;126;138;863;1744;2014-05-03 13:48:21;en;http://pbs.twimg.com/profile_background_images/555285329368735745/PjAGs_Ds.jpeg;http://pbs.twimg.com/profile_images/842703379373658115/yPCXe9KK_normal.jpg
2416277694;ngEurope;ngEurope;Paris, France;https://t.co/UblCejtVtR;The Original and Largest European Angular conference in Paris, France. Next edition coming February 1-2, 2018! https://t.co/UblCejtVtR;False;7237;143;194;617;915;2014-03-28 18:15:46;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/764579971859873793/dLAzB0sK_normal.jpg
2362979737;lambda_conf;LambdaConf;Boulder, CO;https://t.co/E6W2sRxtHv;An annual functional programming conference held in beautiful Boulder, Colorado. Scala, Haskell, F#, Rust, Elixir, PureScript, Racket, Clojure, Elm, Erlang.;False;8418;2075;247;3318;3980;2014-02-26 17:21:48;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/666824535555964929/0B9QzU77_normal.png
2359947662;DockerCon;DockerCon;San Francisco, CA;https://t.co/DlKr5yPY28;The official @Docker Conference #DockerCon 2018: June 12-14, in San Francisco, California;True;24722;844;545;3643;4679;2014-02-24 19:37:39;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/932773385507020800/Tfagmk9V_normal.jpg
2359707366;polyconfhq;PolyConf;World;https://t.co/NVBgLsyG68;A non-profit conference about software engineering;False;1498;223;76;531;1321;2014-02-24 16:03:22;en;http://abs.twimg.com/images/themes/theme14/bg.gif;http://pbs.twimg.com/profile_images/835588619683393536/hPYowX8r_normal.jpg
